City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,khunti,23.0833,85.2833,23.06,98,100,7.27,IN,1722608144
1,puerto natales,-51.7236,-72.4875,0.25,100,100,2.57,CL,1722608046
2,chonchi,-42.6128,-73.8092,8.56,90,99,3.13,CL,1722608146
3,atafu village,-8.5421,-172.5159,28.12,74,70,6.45,TK,1722608148
4,nyrsko,49.2939,13.1435,19.81,92,100,4.17,CZ,1722608149
5,yellowknife,62.456,-114.3525,14.12,59,20,2.57,CA,1722608045
6,labytnangi,66.6572,66.4183,20.09,79,100,5.9,RU,1722608151
7,grytviken,-54.2811,-36.5092,-0.14,96,100,3.64,GS,1722608152
8,bilibino,68.0546,166.4372,3.85,67,45,2.11,RU,1722608153
9,fale old settlement,-9.3852,-171.2468,28.2,73,6,6.93,TK,1722608154
10,tolanaro,-25.0319,46.9987,22.04,78,20,4.12,MG,1722608155
11,adamstown,-25.066,-130.1015,19.99,86,74,4.8,PN,1722608157
12,avarua,-21.2078,-159.775,18.03,77,20,1.03,CK,1722608159
13,port elizabeth,-33.918,25.5701,17.83,69,0,5.66,ZA,1722608160
14,akureyri,65.6835,-18.0878,12.96,62,100,1.54,IS,1722608162
15,omdurman,15.6445,32.4777,32.99,39,100,4.33,SD,1722608163
16,margaret river,-33.95,115.0667,10.14,83,63,2.41,AU,1722608165
17,geraldton,-28.7667,114.6,8.23,87,100,4.12,AU,1722608166
18,new plymouth,-39.0667,174.0833,7.12,100,7,4.25,NZ,1722608167
19,stanley,54.868,-1.6985,24.6,58,88,6.77,GB,1722608168
20,lihue,21.9789,-159.3672,21.77,83,75,2.57,US,1722608169
21,uusikaupunki,60.8004,21.4084,18.02,77,87,6.1,FI,1722608170
22,inari,68.906,27.0288,16.65,61,60,4.17,FI,1722608171
23,vorkuta,67.5,64.0,18.68,74,95,5.52,RU,1722608173
24,bethel,41.3712,-73.414,30.23,72,0,0.89,US,1722608174
25,kangding,30.0513,101.9603,17.97,98,100,1.44,CN,1722608175
26,albany,42.6001,-73.9662,26.56,78,99,1.56,US,1722608121
27,ribeira grande,38.5167,-28.7,26.22,73,20,3.09,PT,1722608177
28,lima,-12.0432,-77.0282,18.67,77,100,4.12,PE,1722607683
29,lycksele,64.5954,18.6735,16.35,94,75,2.57,SE,1722608126
